"name","image","party","status","email","term"
"Lars-Emil Johansen","/media/753863/Lars-Emil Johansen - 07533.jpg","Siumut","Member of Inatsisartut","larsemil@inatsisartut.gl","1995-03-04"
"Jonathan Motzfeldt","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","jomo@gh.gl","1995-03-04"
"Agnethe Davidsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1995-03-04"
"Anders Nilsson","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1995-03-04"
"Anders Andreassen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1995-03-04"
"Anthon Frederiksen","/media/234539/2010.09.17 Start EM 2010 00946.jpg","Kandidatforbund","Member of Inatsisartut","antuut@inatsisartut.gl","1995-03-04"
"Bjarne Kreutzmann","/css/images/INAT-dukke-lys.jpg","Akulliit_Partiiat","Member of Inatsisartut","","1995-03-04"
"Daniel Skifte","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1995-03-04"
"Finn Karlsen","/media/234423/2010.09.17 Start EM 2010 00928.jpg","Atassut","Member of Inatsisartut","fika@nanoq.gl","1995-03-04"
"Hans Enoksen","/media/298458/untitled-6.jpg","Siumut","Member of Inatsisartut","hans@inatsisartut.gl","1995-03-04"
"Jakob Sivertsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1995-03-04"
"Jens Napaattooq","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1995-03-04"
"Johan Lund Olsen, Inuit Ataqatigiit","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","johan@gh.gl","1995-03-04"
"Josef  Motzfeldt","/media/234511/2010.09.17 Start EM 2010 00881.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","tuusi@inatsisartut.gl","1995-03-04"
"Karl Lyberth","/media/762432/Karl_Lyberth.jpg","Akulliit_Partiiat","Member of Inatsisartut","karll@inatsisartut.gl","1995-03-04"
"Knud Sørensen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1995-03-04"
"Konrad Steenholdt","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1995-03-04"
"Kristine Raahauge","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1995-03-04"
"Kuupik Vandersee Kleist","/media/234472/2010.09.17 Start EM 2010 00948.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","kuupik@inatsisartut.gl","1995-03-04"
"Lars Sørensen","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1995-03-04"
"Lars Karl Jensen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1995-03-04"
"Malînànguak´M.  Mølgaard","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1995-03-04"
"Marianne Jensen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1995-03-04"
"Mikael Petersen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1995-03-04"
"Naimanngitsoq Petersen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1995-03-04"
"Niels Màtâk´","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1995-03-04"
"Otto Steenholdt","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1995-03-04"
"Peter Ostermann","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1995-03-04"
"Peter G. Samuelsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1995-03-04"
"Ruth Heilmann","/media/234528/2010.09.17 Start EM 2010 00940.jpg","Siumut","Member of Inatsisartut","ruth@inatsisartut.gl","1995-03-04"
"Siverth Karl Heilmann","/media/234533/2010.09.17 Start EM 2010 00891.jpg","Atassut","Member of Inatsisartut","skhe@inatsisartut.gl","1995-03-04"
