"name","image","party","status","email","term"
"Hans Enoksen","/media/298458/untitled-6.jpg","Siumut","Member of Inatsisartut","hans@inatsisartut.gl","2002-12-03"
"Jonathan Motzfeldt","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","jomo@gh.gl","2002-12-03"
"Agathe Fontain","/media/234537/2010.09.17 Start EM 2010 00896.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","agathe@inatsisartut.gl","2002-12-03"
"Ane Hansen","/media/234538/2010.09.17 Start EM 2010 00903.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","aneh@inatsisartut.gl","2002-12-03"
"Anthon Frederiksen","/media/234539/2010.09.17 Start EM 2010 00946.jpg","Kattusseqatigiit","Member of Inatsisartut","antuut@inatsisartut.gl","2002-12-03"
"Aqqaluk Lynge","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","2002-12-03"
"Asii Chemnitz Narup","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","2002-12-03"
"Astrid Fleischer Rex","/media/234413/2010.09.17 Start EM 2010 00912.jpg","Demokraatit","Member of Inatsisartut","asfl@inatsisartut.gl","2002-12-03"
"Augusta Salling, Atassut","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","aus@gh.gl","2002-12-03"
"Doris Jakobsen","/media/293877/untitled-5.jpg","Siumut","Member of Inatsisartut","doja@nanoq.gl","2002-12-03"
"Ellen Christoffersen, Atassut","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","ekri@gh.gl","2002-12-03"
"Enos Lyberth","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","2002-12-03"
"Finn Karlsen","/media/234423/2010.09.17 Start EM 2010 00928.jpg","Atassut","Member of Inatsisartut","fika@nanoq.gl","2002-12-03"
"Henriette Rasmussen","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","2002-12-03"
"Isak Davidsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","isda@gh.gl","2002-12-03"
"Jørgen W. Johansen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","2002-12-03"
"Jakob Sivertsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","2002-12-03"
"Jens Napaattooq","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","2002-12-03"
"Jensine Berthelsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","2002-12-03"
"Johan Lund Olsen, Inuit Ataqatigiit","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","johan@gh.gl","2002-12-03"
"Josef  Motzfeldt","/media/234511/2010.09.17 Start EM 2010 00881.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","tuusi@inatsisartut.gl","2002-12-03"
"Kuupik Vandersee Kleist","/media/234472/2010.09.17 Start EM 2010 00948.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","kuupik@inatsisartut.gl","2002-12-03"
"Marie Fleischer, Inuit Ataqatigiit","/css/images/INAT-dukke-lys.jpg","Demokraatit","Member of Inatsisartut","mafl@gh.gl","2002-12-03"
"Mikael Petersen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","2002-12-03"
"Ole Dorph","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","2002-12-03"
"Otto Jeremiassen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","otje@gh.gl","2002-12-03"
"Palle Christiansen","/media/234434/2010.09.17 Start EM 2010 00913.jpg","Demokraatit","Member of Inatsisartut","palle@inatsisartut.gl","2002-12-03"
"Per Berthelsen","/media/234529/2010.09.17 Start EM 2010 00930.jpg","Demokraatit","Member of Inatsisartut","pebe@inatsisartut.gl","2002-12-03"
"Per Skaaning","/css/images/INAT-dukke-lys.jpg","Demokraatit","Member of Inatsisartut","","2002-12-03"
"Ruth Heilmann","/media/234528/2010.09.17 Start EM 2010 00940.jpg","Siumut","Member of Inatsisartut","ruth@inatsisartut.gl","2002-12-03"
"Simon Olsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","2002-12-03"
