"name","image","party","status","email","term"
"Jonathan Motzfeldt","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","jomo@gh.gl","1983-04-12"
"Hendrik Nielsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1983-04-12"
"Aage Hammeken","/media/2316307/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1983-04-12"
"Allan Idd Jensen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1983-04-12"
"Anguteraq Davidsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1983-04-12"
"Aqqaluk Lynge","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1983-04-12"
"Bent Frederiksen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1983-04-12"
"Hans Iversen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1983-04-12"
"Hans Pvia Rosing","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1983-04-12"
"Holger Sivertsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1983-04-12"
"Ingvar Høegh","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1983-04-12"
"Isak Lund","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1983-04-12"
"Jakob Sivertsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1983-04-12"
"Konrad Steenholdt","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1983-04-12"
"Lars Chemnitz","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1983-04-12"
"Lars-Emil Johansen","/media/753863/Lars-Emil Johansen - 07533.jpg","Siumut","Member of Inatsisartut","larsemil@inatsisartut.gl","1983-04-12"
"Moses Olsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1983-04-12"
"Niels Carlo Heilmann","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1983-04-12"
"Otto Steenholdt","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1983-04-12"
"Pavia Nielsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1983-04-12"
"Peter Ostermann","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1983-04-12"
"Preben Lange","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1983-04-12"
"Sofus Joelsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1983-04-12"
