"name","image","party","status","email","term"
"Bent Frederiksen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1991-03-05"
"Ane Sofie Hammeken","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1991-03-05"
"Agnethe Nielsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1991-03-05"
"Aqqaluk Lynge","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1991-03-05"
"Bjarne Kreutzmann","/css/images/INAT-dukke-lys.jpg","Akulliit_Partiiat","Member of Inatsisartut","","1991-03-05"
"Emil Abelsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1991-03-05"
"Emilie Lennert","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1991-03-05"
"Hans Iversen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1991-03-05"
"Hans Pavia Egede","/css/images/INAT-dukke-lys.jpg","Akulliit_Partiiat","Member of Inatsisartut","","1991-03-05"
"Henriette Rasmussen","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1991-03-05"
"Jakob Sivertsen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1991-03-05"
"Johan Lund Olsen, Inuit Ataqatigiit","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","johan@gh.gl","1991-03-05"
"Jonathan Motzfeldt","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","jomo@gh.gl","1991-03-05"
"Josef  Motzfeldt","/media/234511/2010.09.17 Start EM 2010 00881.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","tuusi@inatsisartut.gl","1991-03-05"
"Kaj Egede","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1991-03-05"
"Knud Sørensen","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1991-03-05"
"Konrad Steenholdt","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1991-03-05"
"Lars Chemnitz","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1991-03-05"
"Lars-Emil Johansen","/media/753863/Lars-Emil Johansen - 07533.jpg","Siumut","Member of Inatsisartut","larsemil@inatsisartut.gl","1991-03-05"
"Nikolaj Heinrich","/css/images/INAT-dukke-lys.jpg","Issittup_Partiia","Member of Inatsisartut","","1991-03-05"
"Ole Lynge","/css/images/INAT-dukke-lys.jpg","Inuit_Ataqatigiit","Member of Inatsisartut","","1991-03-05"
"Otto Steenholdt","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1991-03-05"
"Ove Rosing-Olsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1991-03-05"
"Pavia Nielsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1991-03-05"
"Peter Ostermann","/css/images/INAT-dukke-lys.jpg","Atassut","Member of Inatsisartut","","1991-03-05"
"Peter G. Samuelsen","/css/images/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1991-03-05"
"Uusaqqak Qujaukitsoq","/media/2316160/INAT-dukke-lys.jpg","Siumut","Member of Inatsisartut","","1991-03-05"
